idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli,Pesquisa
15239722,Estatístico Financeiro,São Paulo,SP,A Combinar,1,2019-09-16,Profissional,Atuar em conjunto com a equipe do cliente como analista na área de crédito e risco. Planeja pesquisas; coletando; analisando e tratando dados para estudo de fenômenos naturais; econômicos ou sociais. Experiência efetiva e nível avançado com Excel e VBA. Experiência e conhecimento com Python. Experiência efetiva e nível avançado com PL / SQL. Experiência em instituições financeiras com operações de crédito e/ou MIS de crédito / cobrança. Conhecimento desejável: experiência e conhecimento em MicroStrategy. Formação em Estatística; Matemática ou Economia.,2019-07-18T20:59:59-0300,estatístico
15279335,Analista de Modelagem Estatística Sênior,Barueri,SP,A Combinar,1,2019-09-16,Profissional,Atuar na área de desenvolvimento e gestão de modelos. Atuar na área de desenvolvimento e gestão de modelos para a Empresa; atendendo as áreas de Negócios/CRM; Riscos; RH; Jurídico e Finanças. Superior completo formado; preferencialmente em estatística; engenharia ou exatas em geral. Pós graduação / MBA em Exatas desejável; Experiência em manipulação de dados. Uso de SAS; Oracle; SQL. R; Phyton (desejável); Vivência em desenvolvimento e gestão de modelos estatísticos (Riscos; Cobrança; Fraudes; CRM; Negócios); usando diferentes técnicas (Machine Learning).,2019-07-26T20:59:59-0300,estatístico
15288631,Analista Comercial - Estatístico,Porto Velho,RO,A Combinar,1,2019-09-16,Profissional,Irá atuar em elaboração de banco de dados e planilhas. Ensino Superior completo em Matemática / Estatística. Conhecimento em Excel.,2019-07-29T20:59:59-0300,estatístico
15323314,Instrutor de Estatistica,Diadema,SP,A Combinar,1,2019-09-16,Profissional,Ministrar aulas de estatística para turmas de administração; participação para reuniões pedagógicas e realizar visitas técnicas. Ensino Superior em Estatística ou Administração.,2019-08-06T20:59:59-0300,estatístico
15363792,Analista de Estatística,Barueri,SP,A Combinar,1,2019-09-16,Profissional,Análise e pesquisa de mercado; elaboração de indicadores de desempenho dos setores; coleta de dados (econômicos/concorrentes/melhorias/déficits); planos de ação e controller. Com experiencia em toda rotina de estudo. Conhecimento no Sistema SAP; PROTHEUS; DATASUL; TOTVS; MICROSIGA; ERP  algum sistema. Excel avançado. Ensino superior de áreas relacionadas. Ramo de peças automotivas  parte elétrica e iluminação.,2019-08-13T20:59:59-0300,estatístico
15381936,Assistente Dados - Estatística,Goiania,GO,A Combinar,1,2019-09-16,Profissional,Auxiliar na análise de custo de mercadoria e produtos; envolvendo a aplicação de custos diretos e/ou descontos especiais; formação de preço de venda; impostos recuperáveis e não recuperáveis e participa na definição de política. Auxilia na elaboração de relatórios sobre pesquisa de mercado e desempenho de preços Formação em curso nas áreas de: Estatística; Matemática; Engenharia; Economia; Pacote Office (Avançado).,2019-08-16T20:59:59-0300,estatístico
15407972,Analista Estatístico de Varejo,Belo Horizonte,MG,A Combinar,1,2019-09-16,Profissional,Elaboração de relatórios gerenciais e análises para subsidiar a tomadas de decisões.Criação e manutenção de ferramentas de gestão (Excel avançado é um diferencial).Manter atualizadas as planilhas de rotina para apuração de resultados da área Comercial e de Operações.Elaboração de planos de ação junto aos compradores e gerentes de loja.Elaboração de apresentações para as reuniões de resultados mensais.Transferir conhecimento metodológico (PDCA) e técnicas de gestão para os gestores. Formação superior completa (Engenharia; Administração; Economia; Estatística ou áreas afins).Conhecimento avançado no pacote Office (Excel; Power Point). Será diferencial: Tabela Dinâmica; noções de VBA e Power Query.Conhecimento em metodologia PDCA; gestão de resultados; indicadores de processo.    Vivência em ferramentas e práticas de Sistema de Gestão Empresarial (método FALCONI) será diferencial.,2019-08-22T20:59:59-0300,estatístico
15424923,Estatístico / Cientista de Dados,São Paulo,SP,A Combinar,1,2019-09-16,Profissional,Trabalhar com análises; estudos; modelos e segmentações de bancos de dados/bigdata de marketing; para suportar decisões estratégicas de negócios; de marketing e estratégias de relacionamento com clientes. Todo trabalho será realizado a partir de metodologia Ágil; portanto vivência anterior nesta metodologia será um diferencial. Conhecimento técnicos: Estatística; linguagens R e Python; Power BI; SQL; visão técnica e de negócios para trabalhos na área de marketing; CRM e Bigdata.,2019-08-27T20:59:59-0300,estatístico
15465081,Analista de Indicadores e Estatísticas,Campo Grande,MS,"De R$ 2.001,00 a R$ 3.000,00",1,2019-09-16,Profissional,Será responsável por extrair; analisar; interpretar dados; números e estudos da área gerando relatórios gerenciais e dashboards. Apresentar estatísticas baseadas nos estudos da área. Analisar e apontar probabilidades que se anteponham aos riscos. A partir dos números; contribuir para a definição de metas. Controlar o rankeamento dos clientes; de modo a identificar resultados negativos e positivos. Ensino Superior completo em Matemática Aplicada a Negócios; Economia; Estatística ou áreas afins.,2019-09-03T20:59:59-0300,estatístico
15497611,Cientista de Dados / Estatísticos,Rio de Janeiro,RJ,A Combinar,1,2019-09-16,Profissional,Atuar como consultor dentro do cliente. De forma resumida; terá que entender a necessidade atual para sugerir estudos que identificarão oportunidade de redução de custos dentro do processo atual. Dominar técnicas e documentos para levantamento de requisitos e especificações. Lidar com alto volume de dados de diversas fontes diferentes. Coletar e mineira os dados que serão utilizados nas análises. Realizar análise exploratória dos dados. Interagir. Selecionar e implantar técnicas e algoritmos de Machine Learning ou IA para a resolução dos problemas selecionados. com a equipe de Engenheiros de dados para selecionar e priorizar as entregas. Trabalhar adotando metodologias ágeis de desenvolvimento e entregas. Desenvolver e reportar relatórios para justificar as técnicas adotadas. Utilizar ferramentas de B.I. para expor o resultado e acompanhamento dos outputs do algoritmos. Formação em Estatística; Engenharia; Física; Matemática; Ciências da Computação. Conhecimento em SGBD relacionais (SQL Server; MySQL; PostGreSQL; etc..) e não relacinoais (MongoDB; etc..). Conhecimento de ferramentas para implantação de Data Lake (Hadoop; Spark; Hive; Pig; SGBD NoSQL). Conhecimento em ferramentas avançadas de análise (exmeplo: R). Conhecimento em Dynamic Reports e aplicativos de visualização (Ex.: R-Mardown; Shiny). Experiência com ferramenta de B.I. como PowerBI; Tableau; Qlik Sense ou equivalentes. Experiência com implantação de Data Lake. Inglês Avançado,2019-09-11T20:59:59-0300,estatístico
