idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli
15206586,Consultor em Estatística,São Paulo,SP,A Combinar,1,2019-08-28,Profissional,Auxiliar no preparo / tabulação das bases de dados geradas em cada etapa do processo; facilitando assim a análise dos resultados. Domínio do Excel (macros; tabelas dinâmicas; gráficos; fórmulas; PROCV; entre outros). Ensino Superior em Estatística; Economia ou Matemática. Facilidade de aprendizado; ser comunicativo; ter proatividade; boa escrita; agilidade e concentração.,2019-07-12T20:59:59-0300
15239722,Estatístico Financeiro,São Paulo,SP,A Combinar,1,2019-08-28,Profissional,Atuar em conjunto com a equipe do cliente como analista na área de crédito e risco. Planeja pesquisas; coletando; analisando e tratando dados para estudo de fenômenos naturais; econômicos ou sociais. Experiência efetiva e nível avançado com Excel e VBA. Experiência e conhecimento com Python. Experiência efetiva e nível avançado com PL / SQL. Experiência em instituições financeiras com operações de crédito e/ou MIS de crédito / cobrança. Conhecimento desejável: experiência e conhecimento em MicroStrategy. Formação em Estatística; Matemática ou Economia.,2019-07-18T20:59:59-0300
15260074,Estatístico - Cientista de Dados,Curitiba,PR,A Combinar,1,2019-08-28,Profissional,Definição de regras associativas. Modelos de classificação. Análise exploratória. Mineração de dados. Conhecimento em R ou Python. Excel avançado.,2019-07-23T20:59:59-0300
15279335,Analista de Modelagem Estatística Sênior,Barueri,SP,A Combinar,1,2019-08-28,Profissional,Atuar na área de desenvolvimento e gestão de modelos. Atuar na área de desenvolvimento e gestão de modelos para a Empresa; atendendo as áreas de Negócios/CRM; Riscos; RH; Jurídico e Finanças. Superior completo formado; preferencialmente em estatística; engenharia ou exatas em geral. Pós graduação / MBA em Exatas desejável; Experiência em manipulação de dados. Uso de SAS; Oracle; SQL. R; Phyton (desejável); Vivência em desenvolvimento e gestão de modelos estatísticos (Riscos; Cobrança; Fraudes; CRM; Negócios); usando diferentes técnicas (Machine Learning).,2019-07-26T20:59:59-0300
15288631,Analista Comercial - Estatístico,Porto Velho,RO,A Combinar,1,2019-08-28,Profissional,Irá atuar em elaboração de banco de dados e planilhas. Ensino Superior completo em Matemática / Estatística. Conhecimento em Excel.,2019-07-29T20:59:59-0300
15323314,Instrutor de Estatistica,Diadema,SP,A Combinar,1,2019-08-28,Profissional,Ministrar aulas de estatística para turmas de administração; participação para reuniões pedagógicas e realizar visitas técnicas. Ensino Superior em Estatística ou Administração.,2019-08-06T20:59:59-0300
15363792,Analista de Estatística,Barueri,SP,A Combinar,1,2019-08-28,Profissional,Análise e pesquisa de mercado; elaboração de indicadores de desempenho dos setores; coleta de dados (econômicos/concorrentes/melhorias/déficits); planos de ação e controller. Com experiencia em toda rotina de estudo. Conhecimento no Sistema SAP; PROTHEUS; DATASUL; TOTVS; MICROSIGA; ERP  algum sistema. Excel avançado. Ensino superior de áreas relacionadas. Ramo de peças automotivas  parte elétrica e iluminação.,2019-08-13T20:59:59-0300
15381936,Assistente Dados - Estatística,Goiania,GO,A Combinar,1,2019-08-28,Profissional,Auxiliar na análise de custo de mercadoria e produtos; envolvendo a aplicação de custos diretos e/ou descontos especiais; formação de preço de venda; impostos recuperáveis e não recuperáveis e participa na definição de política. Auxilia na elaboração de relatórios sobre pesquisa de mercado e desempenho de preços Formação em curso nas áreas de: Estatística; Matemática; Engenharia; Economia; Pacote Office (Avançado).,2019-08-16T20:59:59-0300
15407972,Analista Estatístico de Varejo,Belo Horizonte,MG,A Combinar,1,2019-08-28,Profissional,Elaboração de relatórios gerenciais e análises para subsidiar a tomadas de decisões.Criação e manutenção de ferramentas de gestão (Excel avançado é um diferencial).Manter atualizadas as planilhas de rotina para apuração de resultados da área Comercial e de Operações.Elaboração de planos de ação junto aos compradores e gerentes de loja.Elaboração de apresentações para as reuniões de resultados mensais.Transferir conhecimento metodológico (PDCA) e técnicas de gestão para os gestores. Formação superior completa (Engenharia; Administração; Economia; Estatística ou áreas afins).Conhecimento avançado no pacote Office (Excel; Power Point). Será diferencial: Tabela Dinâmica; noções de VBA e Power Query.Conhecimento em metodologia PDCA; gestão de resultados; indicadores de processo.    Vivência em ferramentas e práticas de Sistema de Gestão Empresarial (método FALCONI) será diferencial.,2019-08-22T20:59:59-0300
15424923,Estatístico / Cientista de Dados,São Paulo,SP,A Combinar,1,2019-08-28,Profissional,Trabalhar com análises; estudos; modelos e segmentações de bancos de dados/bigdata de marketing; para suportar decisões estratégicas de negócios; de marketing e estratégias de relacionamento com clientes. Todo trabalho será realizado a partir de metodologia Ágil; portanto vivência anterior nesta metodologia será um diferencial. Conhecimento técnicos: Estatística; linguagens R e Python; Power BI; SQL; visão técnica e de negócios para trabalhos na área de marketing; CRM e Bigdata.,2019-08-27T20:59:59-0300
